hash,author,modules,lines_added,lines_deleted
cb44a8345e7c248cf4158f2702fd9c9358399cfb,Tomas Vondra,['src'],12,4
5632d6e18a8afd586a99f680eddddc38b4ead769,Heikki Linnakangas,['src'],34,31
a740b213d4b4d3360ad0cac696e47e5ec0eb8864,Peter Eisentraut,"['doc', 'src']",44,3
9d49837d7144e27ad8ea8918acb28f9872cb1585,Peter Eisentraut,['src'],12,12
2c321ceaa904eb2722050abd35bf4eaea434c8b5,Jeff Davis,['src'],14,3
541e8f14a185495f814ae0a0876a0d0c4118833a,Peter Eisentraut,['src'],6,6
3f1fd416316cbb66de61ac1ac34839f025b0b242,Tom Lane,['src'],2,3
390408ec08d338f36798ec063f81c5098596f8da,Peter Eisentraut,['src'],2,2
a7ebd82b9e50960cac59868fa1dd3cbe12de8c7b,Peter Eisentraut,['src'],1,1
98c6231d198a98b1c5ec9d400cd5593752fa9de9,Tom Lane,['src'],15,15
7e6fb5da41d8ee1bddcd5058b7204018ef68d193,Alexander Korotkov,['src'],51,33
7d7ef075d2b3f3bac4db323c2a47fb15a4a9a817,John Naylor,['src'],2,2
71a3e8c43ba8f3d026ae0cb2c2df27455ffdca76,Alexander Korotkov,['src'],63,14
059de3ca4766012743b4ff7c8e7193abb71f7189,Tom Lane,['src'],8,1
a46972e30ca7e15b667a47b57b42c9dd78bfaab8,Tom Lane,['src'],1,1
231ff70f98e389dd510db86d3971b87e92c65d39,Michael Paquier,['src'],4,4
bad0763a4d7be3005eae35d460c73ac4bc7ebaad,Tom Lane,['src'],4,4
0a93f803f45f45f39473e2c61923c4b4777bc8a8,Alexander Korotkov,['src'],1,1
64e77b496af61ee31189ba69b40e785e11e9967f,Michael Paquier,['src'],1,1
49f2194ed5c1f6274ac807fb033880aee0b0d1c3,Robert Haas,"['doc', 'src']",33,34
a0ff37173d7d412d53bc299fc611068be3bc7060,Dean Rasheed,['src'],167,8
e557db106ef69413edb75c362191084ee73a0f55,Peter Eisentraut,['src'],3,1
e6c56f2a9d45d2ee636bb94c93a4268c39a1ad18,Daniel Gustafsson,['doc'],1,1
30e54d5c5d8fceb7287162c116961fa0627544f5,Daniel Gustafsson,['src'],1,1
00498b718564cee3530b76d860b328718aed672b,Michael Paquier,['doc'],4,0
27f7f81e4c8d5d390ea212d13b65ada8e4a232cd,Michael Paquier,['contrib'],5,4
47f01d727e3a271bbff7d2f9db838e81d27bd495,Robert Haas,['src'],1,1
7e1ce2b3de16dfbe1598cef060dfc8458522938a,Tom Lane,['src'],52,15
e52e271b23005f27e997215617993c87629247f2,Daniel Gustafsson,['doc'],1,1
20847013642127e75ee4fe3ddb8228a1fb4b652f,Michael Paquier,['contrib'],14,2
a8dd62ef4959141e410278fd68b3d1821e0bbbaa,Michael Paquier,['contrib'],11,7
c8bc807cf8bc741c83bc74553326856affee5a4f,Amit Kapila,['src'],10,5
59bd34c2fa02b005dc33190245b2bffc6a08c0b9,Tom Lane,['src'],54,55
0e917508b89dd21c5bcd9183e77585f01055a20d,Peter Eisentraut,['meson.build'],1,1
741fb0056eda5e7bd03deb0719121f88b4b9e34a,Daniel Gustafsson,['doc'],1,1
c5962ad21a6e3119c9f63b5fbfbcfe663413d551,Daniel Gustafsson,['src'],1,1
0a5c46a7a488f2f4260a90843bb9de6c584c7f4e,Tom Lane,['src'],45,14
8d7d2197f31c1839db4726d1a12cb29016f4fa36,Amit Kapila,['src'],15,5
aa210e0c121eb8f58c86d4fcc833a5a6fbb6f5a9,Peter Geoghegan,['src'],8,19
cd7f19da34684b7b12fdc08511c5ce7bebb09419,Thomas Munro,['src'],37,9
e5b8c4f68fa554b1db9951af579c70c2a4692e55,Michael Paquier,['src'],1,1
651030a3d7b44e0f448f860f6cccc1b0eff26ac6,Bruce Momjian,['doc'],23,19
d43bd090a8fee81fe88eb1e9e15e30d30ee130ed,Michael Paquier,['src'],10,7
0bf62460bb9e86101d24e31e915c2e8922675296,Amit Kapila,['src'],8,9
c426f7c2b36a5efd9bcef2a2dfcc559f7879cd84,Michael Paquier,['src'],99,3
7636725b922c8cd68f21d040f3542d3bce9c68a4,Michael Paquier,['src'],4,2
4d0cf0b05defcee985d5af38cb0db2b9c2f8dbae,Daniel Gustafsson,['src'],1,0
98e675ed7af95cb65a594ce730d42390e0118dcb,Daniel Gustafsson,['src'],5,1
b8ba7344e9eb9bb505a92900b2a59257ef718135,Alvaro Herrera,['src'],40,25
63c5df126abb7364b70dafe75fef576dd8eb0bbc,Amit Kapila,['src'],6,0
0d93ce31a584ff454f39df9f94f84376756e074b,Peter Eisentraut,['src'],4,1
f66fcc5cd616da8d81a2d2f9b80a9f080796f4b6,Amit Kapila,['src'],32,1
ae2ccf66a261caac9701986597e3f29188f890d6,Alexander Korotkov,['src'],1,1
b3efa270b5192f0c72dc26f0ea1bc795ad8516c3,Daniel Gustafsson,['src'],7,7
17935e1fdf0aff083347b4b2d6268d945041d188,Daniel Gustafsson,['src'],7,7
b589f211e025eb66f7c9e5a0b0cc23cc6fff3605,Alexander Korotkov,['src'],1,1
489ca33081c8f590a314d4a09d9bee56a81f1a85,Peter Eisentraut,['meson.build'],1,1
a243569bf65c5664436e8f63d870b7ee9c014dcb,Michael Paquier,['doc'],8,0
7e5f5177996150bf3845562d00d41d1e1847d7e3,Peter Eisentraut,"['contrib', 'src']",8,4
3e36e48d8efecea9f2c991c0341e567af2eb363a,Amit Kapila,['src'],1,0
5abff2aaa1ab968cccbb76823e089b790912d21f,Masahiko Sawada,['src'],2,4
f99dd98242d41fd33a93c913430cc431b7baa8e2,Masahiko Sawada,['src'],1,1
03749325d16c4215ecd6d6a6fe117d93931d84aa,Daniel Gustafsson,['src'],1,1
