hash,author,modules,lines_added,lines_deleted
c9b3d4909bbfcaa8cc2ed434d12a562fb30fe422,Michael Paquier,['src'],2,2
7e125b20eed65e61b07e2e9ef6901467e4f14272,Michael Paquier,['src'],150,51
e3584258154fac40e16f757fadd3361688a166d2,Michael Paquier,['src'],8,8
eb53ff5517e50018539747d75a02d493abc2d232,David Rowley,['src'],2,2
a86cfcae7c58049c7a3a60118ef3f53afd92b3fa,Michael Paquier,['src'],1,1
9b254895c367a3b962bcdd3e35f8590005106e8a,Peter Geoghegan,['src'],2,2
6f3820f37aba94232468365bae7ba5de697fe993,David Rowley,['src'],69,31
7ec4b9ff80d92fee3c41eb1a069cc32d0ec11da1,David Rowley,['src'],16,29
7f97b4734f937db6f8dab1bbf8bbaab349e6c9b1,Michael Paquier,"['contrib', 'src']",6,6
d5a7bd5670c4a59bea506f5999101a8e40ef256c,Heikki Linnakangas,['src'],3,3
94bb6c4410d81ccc019bb60d8aedb73dbc85df76,Melanie Plageman,['src'],5,11
38c579b08988e6f1a5bd74241d0a1001421d8015,Thomas Munro,"['contrib', 'src']",89,33
754c610e13b820370db4c02010a4c8c5dbd1edbd,Melanie Plageman,['src'],61,5
8f4ee962691ed36302be3333c65422ed9e082743,David Rowley,['src'],28,2
28328ec87b45725f62bed1104d99c8b3220d1675,Melanie Plageman,['src'],9,3
3f06324705aeb5a4c67b6c08f2016c4c3c756723,Tom Lane,['src'],2,1
d96d1d5152f30d15678e08e75b42756101b7cab6,David Rowley,['src'],50,1
2364f61488ec1b4bc40d3a73dba4385e8ede65a0,Amit Kapila,['doc'],7,3
0f23dedc91760271aefe9e3c52d677c079bb7bce,Michael Paquier,['src'],6,2
e116b703f0b9b551cb413c8f2cfe231a9ce73f42,Michael Paquier,['src'],11,5
39240bcad56dc51a7896d04a1e066efcf988b58f,Michael Paquier,['src'],70,26
530f89e648da3a5505920322dcd4e00e15559f66,Tom Lane,['src'],59,7
62b7a9a7784eb8b3871368726fc3b8df17d87f32,Álvaro Herrera,['src'],21,20
7bc9a8bdd2d6f6da664572456f226c54e9c9e3dd,Thomas Munro,['src'],6,0
c72ca3ddec15b73d9f9dc3e21b8db5d958b0dad7,John Naylor,['src'],1,1
7b8cb9cd6a76b1b6a77032a1c352b258b6abfd39,Tom Lane,['src'],27,17
89988ac5891b3d41725472a65e50ae4e192313aa,David Rowley,['contrib'],16,16
398d3e3b5b8f4c81795e07655f28036839cc0550,Masahiko Sawada,['src'],15,3
0e033f5b6de569e712d5f94b77878b8ffacf6397,Daniel Gustafsson,['src'],3,1
8b9cbf4922756d912309567f83f81e41f1737ac7,Noah Misch,['src'],6,4
321c287351f707c38c1fa94c1ac89bcc3134ed59,Peter Eisentraut,['src'],2,0
d37e856410d0856cb851e11b2e0191edf6cde527,Michael Paquier,['src'],2,2
7b2690a5713e66c64313cea1cf881da3dcaaae2a,Michael Paquier,['src'],1,2
36d0229b8ff5907ccff782e9425d1647401b7e99,David Rowley,['doc'],21,21
73a392d236965f14b84c0d09f011bda2cba6f8ca,Daniel Gustafsson,['src'],4,0
0a27c3d0f733c132a4c5122e749a619d02937a8a,Nathan Bossart,['src'],179,9
5668a857de4f3f12066b2bbc626b77be4fc95ee5,Richard Guo,['src'],97,3
f0c569d7151532fbc9c016b01af49f04a9fb5278,Michael Paquier,['src'],11,9
2d0152d6147bb7d12eb120b7e749a323bf91aa6e,Amit Kapila,['src'],4,4
da99fedf8c1726326868d37a0e886caf9107d040,Michael Paquier,"['contrib', 'src']",69,2
1fe5a347e36f9f5f288b3574597d4e279fc72a65,David Rowley,['src'],34,18
3220ceaf774a2a11f86b33425d836e7072aed677,Tom Lane,['src'],25,13
ffe003cae1ff28b698f1769e46e3dc14b5516070,Jeff Davis,['src'],1,1
1319997df92447d9b473a538b109b2d1d560c637,Thomas Munro,['src'],293,303
71cb352904c1833fe067d6f191269710fe2ca06f,Thomas Munro,['src'],9,3
76fd342496612c8432ef8f6c71794c935497d3c9,Nathan Bossart,['src'],133,16
24c1c6338719e4de1dd5f045418e64957781c595,Bruce Momjian,['doc'],5,4
dfbb092cff70ee4d4084b7e4e57228a89ff4f9f8,Peter Eisentraut,['src'],4,3
ccc8194e4275d0be557a9b94126a12b389520593,John Naylor,['src'],9,15
498f130756914e1bc3125ddfc7e5c86f38ded8e8,Bruce Momjian,['doc'],5,3
3c5f9f12c807760f6d512957a863113b07a79dcb,Álvaro Herrera,['src'],17,27
1e5ef3a2a17974f574b90b86f491d74e32615987,Álvaro Herrera,['src'],3,2
84a67725cd11ffbd5c0e142b067ae90dc3e57270,Peter Eisentraut,['src'],7,3
1acf10549e64c6a52ced570d712fcba1a2f5d1ec,Peter Eisentraut,['src'],4,0
e3fa2b037c6f0f435838e99200050dc54c306085,Jeff Davis,['src'],30,5
33152358453cc46f986483e9f82418fb8ba8eaef,Dean Rasheed,['src'],1,1
086c84b23d99c2ad268f97508cd840efc1fdfd79,Peter Eisentraut,['src'],57,35
2f696453d2b39fea800d5f7d8e5d3e1a2266de24,Tom Lane,['src'],29,33
49ae9fd8b7081c075b74889449b29d47fd80eaf3,Peter Eisentraut,['doc'],1,1
5d39becf8ba0080c98fee4b63575552f6800b012,Peter Eisentraut,['src'],16,21
b6612aedc53a6bf069eba5e356a8421ad6426486,David Rowley,['src'],1,1
0c01f509a38f5b1f5fab26d98ae55d796541c2e4,Daniel Gustafsson,['src'],1,1
2b41de4a5b429c53ae5fb5ff92b2e9822fd2cd9a,Tom Lane,['src'],86,53
0e6060790d6533847084770845c84e81862bff47,Tom Lane,['src'],42,13
262283d5eec3d582a8645692fede2e8f5e6029bd,Andres Freund,"['.cirrus.tasks.yml', 'src']",29,20
6a5bcf7f7dd1e3c1c669912d82591397dbe24a10,Andres Freund,['src'],9,9
631db1d4b251a500e22743fc3eec9fb8724baf67,Fujii Masao,['contrib'],12,0
09d09d4297b9acbc2848ec35e8bf030d6c1fae18,Álvaro Herrera,['src'],25,0
41272784b9383910de737937f1987dd00246f728,Peter Eisentraut,['src'],1,1
a62d90f2e5cb55d0c8998b63120d6db3c55df866,Thomas Munro,['src'],10,12
63e10988f8705cc56ac242fa21ec42dd87e99cbf,Peter Eisentraut,['src'],1,2
9d7aa406d04ce51da38eb5b6402079f60a601aec,Amit Kapila,['src'],1,1
8fcd80258bcf43dab93d877a5de0ce3f4d2bd471,Amit Kapila,['src'],103,30
6e80951f49f3bc18b5bdfb7e87bc2e0bcfb4af00,Bruce Momjian,['doc'],3,2
e15e56713702c45402d2728f3d7d68df96b2fbbe,Richard Guo,['src'],39,39
5b8728cd7f9d3d93b6ff9b48887084fdf0a46e4f,Tom Lane,['src'],64,5
d4d11940df94ee13166dda70271ff3b97e43bc9b,Alexander Korotkov,['src'],8,8
2ff7c913d92d8540e8b00c54746ce2f565521256,Michael Paquier,['doc'],2,2
ee937f0409d5c75855861bf31f88eeb77623b411,Heikki Linnakangas,['src'],11,8
ea15816928c1bbcab749205a263d82daea28a3e0,Michael Paquier,['src'],1,1
b5be29ecafe1653ec53f49cbc4789b9683648bc0,Álvaro Herrera,['src'],2,2
7300ff1bd8fa64c0feab1d490b709d553e9a438e,Álvaro Herrera,['src'],2,7
79b575d3bc09cc67a7b5c2da454aeb35f4beccc5,Peter Eisentraut,['src'],28,6
da94e871e8877d1f1054277b24b604bf1c0036a6,Álvaro Herrera,['src'],3,3
ea792bfd93ab8ad4ef4e3d1a741b8595db143677,Michael Paquier,['src'],24,0
94131cd53c1552efe85c3e8120356c22cd658163,Tom Lane,['src'],9,3
15afb7d61c142a9254a6612c6774aff4f358fb69,Michael Paquier,['doc'],30,28
c166454496876818216e222890ab1ae788551c42,Fujii Masao,"['doc', 'src']",19,0
a3699daea2026de324ed7cc7115c36d3499010d3,Michael Paquier,['src'],5,3
7b88529f4363994450bd4cd3c172006a8a77e222,Noah Misch,['src'],90,3
e5ed873b1b4a395b06a5599100383a95c9846e5b,Masahiko Sawada,['src'],3,1
b69bdcee9c9cfd8550c4e847d035f441fcee7d01,Tom Lane,['src'],79,1
9321d2fdf808e93095c4f86565dc8c8178675841,Peter Eisentraut,"['doc', 'src']",105,178
e468ec0fddcd93e282da6685b75d5687c2a87f2a,Peter Eisentraut,['src'],11,13
818119afccd342823e5b638be51f64ba36221318,Michael Paquier,['src'],54,5
38c18710b37a2d0e343a8d6b6333cff31498459b,Álvaro Herrera,['src'],4,0
d74b590983d18b7c5bdc1679ce85b1600871d874,Michael Paquier,['src'],1,1
3be30d007514d504b1d0554a20527ee5ba7a6cfb,Peter Geoghegan,['src'],3,3
db22b900244d3c51918acce44cbe5bb6f6507d32,Alexander Korotkov,"['contrib', 'src']",16,2
c4252c9ef0afea48a59402901c16fc970d838721,Tom Lane,['src'],5,0
