filename,ast_features
2022_01effb13.diff,AST_PARSE_ERROR: :2:63: before: ;
2022_0222be13.diff,AST_PARSE_ERROR: :4:43: before: msg
2022_07daca53.diff,AST_PARSE_ERROR: :2:49: before: ;
2022_08909e3a.diff,AST_PARSE_ERROR: :2:77: before: ;
2022_091a971b.diff,AST_PARSE_ERROR: :2:12: before: will
2022_0d5bd3a6.diff,AST_PARSE_ERROR: :4:12: before: despite
2022_0e758ae8.diff,No logic nodes
2022_0f47e833.diff,CALL(palloc)
2022_14a737bf.diff,AST_PARSE_ERROR: :2:20: Invalid char constant 'user=md5_role'
2022_163b0993.diff,AST_PARSE_ERROR: :5:33: before: PageGetItem
2022_17ec5fa5.diff,CALL(ERR_clear_error) | CALL(ERR_clear_error) | CALL(ERR_clear_error)
2022_19408aae.diff,AST_PARSE_ERROR: :2:11: before: :
2022_1aa8dad4.diff,AST_PARSE_ERROR: :4:40: before: )
2022_1d4be6be.diff,AST_PARSE_ERROR: :2:75: before: ;
2022_1e085766.diff,AST_PARSE_ERROR: :2:3: before: [
2022_1e731ed1.diff,AST_PARSE_ERROR: :2:19: before: )
2022_1f0019de.diff,IF_CONDITION(IsUnderPostmaster) | IF_CONDITION(signal_fd != -1) | CALL(close) | CALL(ReleaseExternalFD)
2022_1f655fdc.diff,No logic nodes
2022_20b68471.diff,AST_PARSE_ERROR: :2:8: before: pg_attribute
2022_21267b64.diff,AST_PARSE_ERROR: :2:3: before: else
2022_2253f5b4.diff,AST_PARSE_ERROR: :2:3: before: <
2022_2313a3ee.diff,No logic nodes
2022_245e14e2.diff,AST_PARSE_ERROR: :2:37: before: buf
2022_25f915b3.diff,AST_PARSE_ERROR: :3:47: before: ;
2022_26ee7fb3.diff,AST_PARSE_ERROR: :4:9: before: ~
2022_291ec6e4.diff,AST_PARSE_ERROR: :2:49: before: ;
2022_2beb4acf.diff,AST_PARSE_ERROR: :7:11: before: $proc
2022_2d7ead85.diff,AST_PARSE_ERROR: :2:23: before: as
2022_335fa5a2.diff,IF_CONDITION(res < 0)
2022_3390ef1b.diff,AST_PARSE_ERROR: :2:3: before: <
2022_359d6010.diff,CALL(_dosmaperr) | CALL(GetLastError) | CALL(_dosmaperr) | CALL(GetLastError)
2022_36e545cd.diff,No logic nodes
2022_36f729e2.diff,AST_PARSE_ERROR: :4:6: before: $node2
2022_376af686.diff,AST_PARSE_ERROR: :2:11: before: this
2022_385da730.diff,AST_PARSE_ERROR: :2:8: before: name
2022_387803d8.diff,"AST_PARSE_ERROR: :2:4: before: ,"
2022_39b8c293.diff,No logic nodes
2022_3d53b9ef.diff,"AST_PARSE_ERROR: :2:8: before: ""ret=$?; rm -rf /tmp/$$; exit $ret"""
2022_3eae0cbf.diff,AST_PARSE_ERROR: :3:6: before: !
2022_43a7dc96.diff,AST_PARSE_ERROR: :2:12: before: >
2022_4517358e.diff,CALL(strlcpy) | CALL(S_ISLNK) | IF_CONDITION(++loops > 8) | CALL(readlink) | CALL(strcpy)
